#gene_ID	consensus_cluster_ID	cluster_in_bam	gene_name
FBgn0000052	cluster2029	clusterTSS_bam_1655	ade2
FBgn0000071	cluster10203	clusterTSS_bam_8322	Ama
FBgn0000077	cluster16134	clusterTSS_bam_13492	amx
FBgn0000097	cluster1726	clusterTSS_bam_1403	aop
FBgn0000100	cluster8153	clusterTSS_bam_6677	RpLP0
FBgn0000109	cluster8443	clusterTSS_bam_6902	Aprt
FBgn0000146	cluster2464	clusterTSS_bam_2031	aub
FBgn0000158	cluster13708	clusterTSS_bam_11250	bam
FBgn0000163	cluster15349	clusterTSS_bam_12767	baz
FBgn0000173	cluster15152	clusterTSS_bam_12570	ben
FBgn0000181	cluster3848	clusterTSS_bam_3101	bic
FBgn0000212	cluster9409	clusterTSS_bam_7717	brm
FBgn0000246	cluster12999	clusterTSS_bam_10648	c(3)G
FBgn0000273	cluster2322	clusterTSS_bam_1905	Pka-C1
FBgn0000283	cluster12966	clusterTSS_bam_10619	Cp190
FBgn0000299	cluster357	clusterTSS_bam_297	Cg25C
FBgn0000317	cluster2705	clusterTSS_bam_2203	ck
FBgn0000326	cluster6285	clusterTSS_bam_5123	clt
FBgn0000395	cluster6267	clusterTSS_bam_5107	cv-2
FBgn0000409	cluster1218	clusterTSS_bam_1013	Cyt-c-p
FBgn0000473	cluster5048	clusterTSS_bam_4098	Cyp6a2
FBgn0000520	cluster14489	clusterTSS_bam_11942	dwg
FBgn0000527	cluster13374	clusterTSS_bam_10961	e
FBgn0000547	cluster291	clusterTSS_bam_239	ed
FBgn0000556	cluster3748	clusterTSS_bam_3009	Ef1alpha48D
FBgn0000562	cluster6475	clusterTSS_bam_5280	egl
FBgn0000566	cluster4334	clusterTSS_bam_3535	Eip55E
FBgn0000575	cluster6670	clusterTSS_bam_5461	emc
FBgn0000578	cluster4365	clusterTSS_bam_3555	ena
FBgn0000588	cluster2515	clusterTSS_bam_2064	esc
FBgn0000611	cluster15273	clusterTSS_bam_12689	exd
FBgn0000635	cluster15809	clusterTSS_bam_13186	Fas2
FBgn0000636	cluster1294	clusterTSS_bam_1064	Fas3
FBgn0000639	cluster9313	clusterTSS_bam_7646	Fbp1
FBgn0000662	cluster5681	clusterTSS_bam_4613	fl(2)d
FBgn0000721	cluster1862	clusterTSS_bam_1516	for
FBgn0000808	cluster16320	clusterTSS_bam_13664	gd
FBgn0000964	cluster1369	clusterTSS_bam_1129	tj
FBgn0001078	cluster9615	clusterTSS_bam_7890	ftz-f1
FBgn0001098	cluster13580	clusterTSS_bam_11137	Gdh
FBgn0001104	cluster8778	clusterTSS_bam_7192	Galphai
FBgn0001114	cluster682	clusterTSS_bam_605	Glt
FBgn0001120	cluster9347	clusterTSS_bam_7669	gnu
FBgn0001139	cluster11652	clusterTSS_bam_9536	gro
FBgn0001142	cluster17	clusterTSS_bam_16	Gs1
FBgn0001186	cluster14878	clusterTSS_bam_12309	Hex-A
FBgn0001224	cluster7279	clusterTSS_bam_5966	Hsp23
FBgn0001227	cluster8978	clusterTSS_bam_7366	Hsp67Ba
FBgn0001229	cluster8974	clusterTSS_bam_7361	Hsp67Bc
FBgn0001257	cluster8623	clusterTSS_bam_7046	ImpL2
FBgn0001276	cluster5476	clusterTSS_bam_4440	ix
FBgn0001332	cluster3974	clusterTSS_bam_3214	L
FBgn0001565	cluster16894	clusterTSS_bam_14173	Hlc
FBgn0001994	cluster2761	clusterTSS_bam_2241	crp
FBgn0002524	cluster1152	clusterTSS_bam_967	lace
FBgn0002526	cluster8733	clusterTSS_bam_7151	LanA
FBgn0002543	cluster1684	clusterTSS_bam_1373	lea
FBgn0002562	cluster15057	clusterTSS_bam_12478	Lsp1alpha
FBgn0002564	cluster6621	clusterTSS_bam_5415	Lsp1gamma
FBgn0002565	cluster7476	clusterTSS_bam_6139	Lsp2
FBgn0002590	cluster16637	clusterTSS_bam_13950	RpS5a
FBgn0002593	cluster49	clusterTSS_bam_44	RpLP1
FBgn0002622	cluster11395	clusterTSS_bam_9318	RpS3
FBgn0002626	cluster14028	clusterTSS_bam_11524	RpL32
FBgn0002780	cluster12012	clusterTSS_bam_9822	mod
FBgn0002921	cluster11211	clusterTSS_bam_9174	Atpalpha
FBgn0002948	cluster14993	clusterTSS_bam_12420	nod
