#gene_ID	consensus_cluster_ID	cluster_in_72hrPHS	gene_name
FBgn0000120	cluster1285	clusterTSS_HS72_1457	Arr1
FBgn0000182	cluster1174	clusterTSS_HS72_1326	BicC
FBgn0000251	cluster1452	clusterTSS_HS72_1642	cad
FBgn0000274	cluster14076	clusterTSS_HS72_16008	Pka-C2
FBgn0000287	cluster928	clusterTSS_HS72_1054	salr
FBgn0000303	cluster11064	clusterTSS_HS72_12577	Cha
FBgn0000411	cluster9314	clusterTSS_HS72_10582	D
FBgn0000560	cluster8133	clusterTSS_HS72_9224	eg
FBgn0001281	cluster14024	clusterTSS_HS72_15946	janB
FBgn0001313	cluster16938	clusterTSS_HS72_19249	kl-2
FBgn0002023	cluster2942	clusterTSS_HS72_3316	Lim3
FBgn0002522	cluster12266	clusterTSS_HS72_13934	lab
FBgn0002838	cluster11692	clusterTSS_HS72_13288	ms(3)K81
FBgn0002842	cluster9816	clusterTSS_HS72_11148	sa
FBgn0002862	cluster12835	clusterTSS_HS72_14600	Mst87F
FBgn0002865	cluster11767	clusterTSS_HS72_13376	Mst98Ca
FBgn0003132	cluster16485	clusterTSS_HS72_18731	Pp1-13C
FBgn0003140	cluster6051	clusterTSS_HS72_6846	PpY-55A
FBgn0003145	cluster2541	clusterTSS_HS72_2858	prd
FBgn0003889	cluster12477	clusterTSS_HS72_14175	betaTub85D
FBgn0003996	cluster15773	clusterTSS_HS72_17917	w
FBgn0004052	cluster7693	clusterTSS_HS72_8723	Z600
FBgn0004171	cluster11772	clusterTSS_HS72_13383	Mst98Cb
FBgn0004172	cluster10254	clusterTSS_HS72_11656	Mst84Da
FBgn0004173	cluster12312	clusterTSS_HS72_13985	Mst84Db
FBgn0004175	cluster12309	clusterTSS_HS72_13980	Mst84Dd
FBgn0004842	cluster11704	clusterTSS_HS72_13302	RYa-R
FBgn0005677	cluster2780	clusterTSS_HS72_3132	dac
FBgn0005778	cluster6321	clusterTSS_HS72_7145	PpD5
FBgn0005779	cluster233	clusterTSS_HS72_269	PpD6
FBgn0010258	cluster12814	clusterTSS_HS72_14575	Rbp4
FBgn0011239	cluster1143	clusterTSS_HS72_1288	ms(2)35Ci
