""	"B1"	"B2"	"H1"	"H2"
"cluster1"	-0.169762328825431	0.678179742826504	11.3689448951691	11.9470795681887
"cluster1578"	7.5559155281439	7.64376307353305	7.43229922135583	6.91484298773967
"cluster3"	7.95110977524207	7.95545108508955	7.18149500301143	6.80048408868489
"cluster4"	-2.32089820075888	-2.27541108037641	6.18361657125864	6.9699630458135
"cluster5"	7.45487293109006	7.62913250316197	7.73231309119123	7.10677738926402
"cluster6"	8.43418409072943	8.42320061682491	8.24711028318057	7.73715623968637
"cluster7"	7.61047420751607	7.29723922251904	7.08549701187929	6.86587077703968
"cluster8"	-2.25996297785038	-2.21424324294297	7.63433841023698	8.00377574502476
"cluster1580"	7.64621074860338	7.63394211373235	7.60152136295367	6.85063300529341
"cluster9"	9.77422983255048	9.62138805179809	9.10574400828001	8.86100600217248
"cluster10"	7.93603003490801	7.96014799203043	8.96345973143174	9.2718115082285
"cluster1581"	-2.26400856271297	-2.21829330291564	7.39779838304418	8.10719274905939
"cluster1582"	8.07724041946321	8.17223717307122	9.26420695007695	10.0316225478549
"cluster11"	9.28373161972709	9.3044495076308	8.8494233821521	8.19465499307755
"cluster12"	8.33301288449273	8.22284666274098	7.18280006520868	7.23965508382916
"cluster13"	10.6259536135301	10.6658990732626	9.72187780453233	9.70921949127482
"cluster15"	5.91689371511892	6.27101876053187	6.32430510148045	6.28586665525551
"cluster1583"	5.87298450091991	5.59532230015741	4.95478099168082	5.05359066762114
"cluster1584"	5.6252013009525	5.44906765296256	3.8168668328014	3.43786439756156
"cluster1585"	5.30866065190043	5.43008323902298	3.96931584012206	4.32205323695418
"cluster1586"	5.54438981063785	5.65652429190996	5.70777903367202	4.73833312440491
"cluster1587"	11.6869233968938	11.7163220695506	11.3127791669874	10.8442676225923
"cluster1588"	6.26639632756149	6.08795440688226	5.62870950400563	5.57816514219666
"cluster1589"	7.21567393137957	7.41609889004627	6.48503930946458	5.73453130134802
"cluster17"	10.4897995777558	10.3558816936946	9.81057811153155	9.27963902286898
"cluster18"	8.37480729159505	8.36411770100169	8.46431434525681	8.54837121678114
"cluster19"	2.08839907480395	1.21400662110295	11.9031829121587	11.9194662038947
