#gene_ID	old_cluster	consensus_cluster_ID_old	cluster_ID_in_bam	new_cluster	consensus_cluster_ID_new	cluster_ID_in_HS72	distance_between_old_new	gene_name
FBgn0000017	Bcc	cluster9480	clusterTSS_bam_7789	Hcc	cluster9479	clusterTSS_HS72_10767	629	Abl
FBgn0000046	Bcc	cluster10712	clusterTSS_bam_8727	Hcc	cluster10713	clusterTSS_HS72_12164	448	Act87E
FBgn0000057	Bcc	cluster4287	clusterTSS_bam_3496	Hcc	cluster4286	clusterTSS_HS72_4829	-170	adp
FBgn0000063	Bcc	cluster10983	clusterTSS_bam_8985	Hcc	cluster10982	clusterTSS_HS72_12480	-204	ald
FBgn0000064	Bcc	cluster13789	clusterTSS_bam_11319	Hcc	cluster13786	clusterTSS_HS72_15674	3132	Ald
FBgn0000083	Bcc	cluster11224	clusterTSS_bam_9189	Hcc	cluster11225	clusterTSS_HS72_12762	450	AnxB9
FBgn0000099	Bcc	cluster4981	clusterTSS_bam_4045	Hcc	cluster4982	clusterTSS_HS72_5639	-678	ap
FBgn0000114	Bcc	cluster968	clusterTSS_bam_836	Hcc	cluster970	clusterTSS_HS72_1097	30841	aret
FBgn0000139	Bcc	cluster11529	clusterTSS_bam_9428	Hcc	cluster11528	clusterTSS_HS72_13098	-110	ash2
FBgn0000140	Bcc	cluster11540	clusterTSS_bam_9441	Hcc	cluster11541	clusterTSS_HS72_13115	1603	asp
FBgn0000183	Bcc	cluster2832	clusterTSS_bam_2289	Hcc	cluster2831	clusterTSS_HS72_3190	731	BicD
FBgn0000210	Bcc	cluster14407	clusterTSS_bam_11867	Hcc	cluster14406	clusterTSS_HS72_16392	-13289	br
FBgn0000253	Bcc	cluster3785	clusterTSS_bam_3042	Hcc	cluster3787	clusterTSS_HS72_4270	5206	Cam
FBgn0000308	Bcc	cluster2022	clusterTSS_bam_1650	Hcc	cluster2020	clusterTSS_HS72_2279	490	chic
FBgn0000320	Bcc	cluster2067	clusterTSS_bam_1685	Hcc	cluster2065	clusterTSS_HS72_2327	16487	eya
FBgn0000404	Bcc	cluster9187	clusterTSS_bam_7551	Hcc	cluster9186	clusterTSS_HS72_10439	143	CycA
FBgn0000412	Bcc	cluster12454	clusterTSS_bam_10163	Hcc	cluster12455	clusterTSS_HS72_14148	-398	D1
FBgn0000413	Bcc	cluster839	clusterTSS_bam_732	Hcc	cluster840	clusterTSS_HS72_962	264	da
FBgn0000489	Bcc	cluster9406	clusterTSS_bam_7715	Hcc	cluster9407	clusterTSS_HS72_10686	-1829	Pka-C3
FBgn0000536	Bcc	cluster15281	clusterTSS_bam_12694	Hcc	cluster15282	clusterTSS_HS72_17365	207	eas
FBgn0000581	Bcc	cluster3726	clusterTSS_bam_2993	Hcc	cluster3727	clusterTSS_HS72_4198	413	E(Pc)
FBgn0000723	Bcc	cluster12465	clusterTSS_bam_10173	Hcc	cluster12464	clusterTSS_HS72_14160	19717	FER
FBgn0001105	Bcc	cluster15257	clusterTSS_bam_12672	Hcc	cluster15258	clusterTSS_HS72_17338	372	Gbeta13F
FBgn0001122	Bcc	cluster3659	clusterTSS_bam_2936	Hcc	cluster3663	clusterTSS_HS72_4125	21126	Galphao
FBgn0001124	Bcc	cluster4084	clusterTSS_bam_3306	Hcc	cluster4083	clusterTSS_HS72_4589	-332	Got1
FBgn0001125	Bcc	cluster1717	clusterTSS_bam_1396	Hcc	cluster1716	clusterTSS_HS72_1939	785	Got2
FBgn0001230	Bcc	cluster13599	clusterTSS_bam_11156	Hcc	cluster13600	clusterTSS_HS72_15464	-122	Hsp68
FBgn0001291	Bcc	cluster3615	clusterTSS_bam_2905	Hcc	cluster3614	clusterTSS_HS72_4081	-466	Jra
FBgn0001316	Bcc	cluster8328	clusterTSS_bam_6803	Hcc	cluster8325	clusterTSS_HS72_9447	92786	klar
FBgn0001324	Bcc	cluster7963	clusterTSS_bam_6529	Hcc	cluster7964	clusterTSS_HS72_9036	6486	kto
FBgn0001612	Bcc	cluster16401	clusterTSS_bam_13734	Hcc	cluster16402	clusterTSS_HS72_18638	-191	Grip91
FBgn0001942	Bcc	cluster437	clusterTSS_bam_367	Hcc	cluster438	clusterTSS_HS72_491	651	eIF-4a
FBgn0002031	Bcc	cluster2945	clusterTSS_bam_2383	Hcc	cluster2944	clusterTSS_HS72_3318	252	l(2)37Cc
FBgn0002036	Bcc	cluster1347	clusterTSS_bam_1108	Hcc	cluster1348	clusterTSS_HS72_1532	415	CG10561
FBgn0002044	Bcc	cluster1371	clusterTSS_bam_1131	Hcc	cluster1372	clusterTSS_HS72_1560	101	swm
FBgn0002174	Bcc	cluster4748	clusterTSS_bam_3853	Hcc	cluster4747	clusterTSS_HS72_5356	-147	l(2)tid
FBgn0002283	Bcc	cluster7780	clusterTSS_bam_6383	Hcc	cluster7779	clusterTSS_HS72_8822	-141	l(3)73Ah
FBgn0002525	Bcc	cluster401	clusterTSS_bam_338	Hcc	cluster402	clusterTSS_HS72_452	241	Lam
FBgn0002638	Bcc	cluster8720	clusterTSS_bam_7138	Hcc	cluster8721	clusterTSS_HS72_9905	-98	Rcc1
FBgn0002673	Bcc	cluster2758	clusterTSS_bam_2236	Hcc	cluster2759	clusterTSS_HS72_3108	-189	twe
FBgn0002715	Bcc	cluster4604	clusterTSS_bam_3744	Hcc	cluster4603	clusterTSS_HS72_5192	-875	mei-S332
FBgn0002723	Bcc	cluster14998	clusterTSS_bam_12426	Hcc	cluster15000	clusterTSS_HS72_17048	406	Met
FBgn0002872	Bcc	cluster8444	clusterTSS_bam_6903	Hcc	cluster8445	clusterTSS_HS72_9582	-143	mu2
FBgn0002873	Bcc	cluster15161	clusterTSS_bam_12582	Hcc	cluster15162	clusterTSS_HS72_17221	119	mud
FBgn0002887	Bcc	cluster670	clusterTSS_bam_593	Hcc	cluster669	clusterTSS_HS72_767	-120	mus201
FBgn0002906	Bcc	cluster12677	clusterTSS_bam_10368	Hcc	cluster12676	clusterTSS_HS72_14408	574	Blm
FBgn0003009	Bcc	cluster6426	clusterTSS_bam_5244	Hcc	cluster6428	clusterTSS_HS72_7278	-1756	ord
FBgn0003041	Bcc	cluster8846	clusterTSS_bam_7246	Hcc	cluster8845	clusterTSS_HS72_10040	374	pbl
FBgn0003071	Bcc	cluster3623	clusterTSS_bam_2914	Hcc	cluster3622	clusterTSS_HS72_4090	-1076	Pfk
FBgn0003074	Bcc	cluster5258	clusterTSS_bam_4262	Hcc	cluster5259	clusterTSS_HS72_5953	-318	Pgi
FBgn0003124	Bcc	cluster8007	clusterTSS_bam_6566	Hcc	cluster8006	clusterTSS_HS72_9085	-402	polo
FBgn0003159	Bcc	cluster15742	clusterTSS_bam_13129	Hcc	cluster15740	clusterTSS_HS72_17884	16481	ptr
FBgn0003187	Bcc	cluster2839	clusterTSS_bam_2294	Hcc	cluster2838	clusterTSS_HS72_3197	5054	qua
FBgn0003189	Bcc	cluster15322	clusterTSS_bam_12741	Hcc	cluster15323	clusterTSS_HS72_17412	124	r
FBgn0003218	Bcc	cluster15144	clusterTSS_bam_12564	Hcc	cluster15145	clusterTSS_HS72_17199	4880	rdgB
FBgn0003261	Bcc	cluster12234	clusterTSS_bam_9981	Hcc	cluster12235	clusterTSS_HS72_13895	-343	Rm62
FBgn0003268	Bcc	cluster11971	clusterTSS_bam_9788	Hcc	cluster11970	clusterTSS_HS72_13601	-134	rod
FBgn0003301	Bcc	cluster16449	clusterTSS_bam_13774	Hcc	cluster16448	clusterTSS_HS72_18687	30764	rut
FBgn0003321	Bcc	cluster16240	clusterTSS_bam_13581	Hcc	cluster16237	clusterTSS_HS72_18448	9896	sbr
FBgn0003371	Bcc	cluster14473	clusterTSS_bam_11926	Hcc	cluster14477	clusterTSS_HS72_16464	10997	sgg
FBgn0003392	Bcc	cluster15266	clusterTSS_bam_12683	Hcc	cluster15267	clusterTSS_HS72_17349	168	shi
FBgn0003396	Bcc	cluster3702	clusterTSS_bam_2973	Hcc	cluster3701	clusterTSS_HS72_4172	-14732	shn
FBgn0003410	Bcc	cluster7807	clusterTSS_bam_6409	Hcc	cluster7808	clusterTSS_HS72_8858	2213	sina
FBgn0003423	Bcc	cluster15545	clusterTSS_bam_12959	Hcc	cluster15546	clusterTSS_HS72_17667	290	slgA
FBgn0003475	Bcc	cluster1419	clusterTSS_bam_1169	Hcc	cluster1420	clusterTSS_HS72_1609	336	spir
FBgn0003607	Bcc	cluster2219	clusterTSS_bam_1821	Hcc	cluster2220	clusterTSS_HS72_2499	-150	Su(var)205
FBgn0003612	Bcc	cluster3524	clusterTSS_bam_2823	Hcc	cluster3526	clusterTSS_HS72_3984	804	Su(var)2-10
FBgn0003716	Bcc	cluster1970	clusterTSS_bam_1613	Hcc	cluster1969	clusterTSS_HS72_2224	27141	tkv
FBgn0003742	Bcc	cluster5752	clusterTSS_bam_4676	Hcc	cluster5751	clusterTSS_HS72_6510	490	tra2
FBgn0003885	Bcc	cluster10259	clusterTSS_bam_8365	Hcc	cluster10260	clusterTSS_HS72_11662	364	alphaTub84D
FBgn0003892	Bcc	cluster3478	clusterTSS_bam_2784	Hcc	cluster3479	clusterTSS_HS72_3931	347	ptc
FBgn0003943	Bcc	cluster8577	clusterTSS_bam_7008	Hcc	cluster8578	clusterTSS_HS72_9737	-279	Ubi-p63E
FBgn0003997	Bcc	cluster9587	clusterTSS_bam_7874	Hcc	cluster9586	clusterTSS_HS72_10888	248	hid
FBgn0004372	Bcc	cluster8509	clusterTSS_bam_6953	Hcc	cluster8508	clusterTSS_HS72_9657	77	aly
FBgn0004419	Bcc	cluster811	clusterTSS_bam_706	Hcc	cluster813	clusterTSS_HS72_930	1249	me31B
FBgn0004574	Bcc	cluster8619	clusterTSS_bam_7044	Hcc	cluster8618	clusterTSS_HS72_9783	133	Rop
FBgn0004581	Bcc	cluster6490	clusterTSS_bam_5295	Hcc	cluster6491	clusterTSS_HS72_7350	-169	bgcn
FBgn0004654	Bcc	cluster14448	clusterTSS_bam_11903	Hcc	cluster14447	clusterTSS_HS72_16433	-236	Pgd
FBgn0004832	Bcc	cluster15804	clusterTSS_bam_13182	Hcc	cluster15805	clusterTSS_HS72_17957	-111	Xpac
FBgn0004859	Bcc	cluster14239	clusterTSS_bam_11701	Hcc	cluster14237	clusterTSS_HS72_16193	7181	ci
FBgn0004864	Bcc	cluster16270	clusterTSS_bam_13611	Hcc	cluster16269	clusterTSS_HS72_18485	166	hop
FBgn0004882	Bcc	cluster13517	clusterTSS_bam_11079	Hcc	cluster13515	clusterTSS_HS72_15358	10548	orb
FBgn0004924	Bcc	cluster15192	clusterTSS_bam_12606	Hcc	cluster15194	clusterTSS_HS72_17260	3343	Top1
FBgn0005411	Bcc	cluster16574	clusterTSS_bam_13889	Hcc	cluster16573	clusterTSS_HS72_18834	434	U2af50
FBgn0005596	Bcc	cluster13939	clusterTSS_bam_11453	Hcc	cluster13940	clusterTSS_HS72_15851	-211	yem
FBgn0005631	Bcc	cluster6383	clusterTSS_bam_5198	Hcc	cluster6382	clusterTSS_HS72_7219	574	robo
FBgn0005648	Bcc	cluster3443	clusterTSS_bam_2759	Hcc	cluster3444	clusterTSS_HS72_3892	225	Pabp2
FBgn0005649	Bcc	cluster13596	clusterTSS_bam_11152	Hcc	cluster13592	clusterTSS_HS72_15454	2068	Rox8
FBgn0005777	Bcc	cluster10439	clusterTSS_bam_8516	Hcc	cluster10438	clusterTSS_HS72_11863	-213	PpD3
FBgn0010100	Bcc	cluster1493	clusterTSS_bam_1230	Hcc	cluster1495	clusterTSS_HS72_1687	2586	Acon
FBgn0010173	Bcc	cluster12369	clusterTSS_bam_10074	Hcc	cluster12370	clusterTSS_HS72_14048	-175	RpA-70
FBgn0010194	Bcc	cluster16719	clusterTSS_bam_14021	Hcc	cluster16718	clusterTSS_HS72_18994	318	Wnt5
