consensus.cluster	chr	start	end	strand	tpm
1	chr2L	7416	7525	+	4531
2	chr2L	21829	21860	+	305
3	chr2L	67042	67044	+	898
4	chr2L	68650	68680	+	135
5	chr2L	71740	71741	+	783
6	chr2L	72599	72631	+	1321
7	chr2L	73387	73477	+	526
8	chr2L	76330	76363	+	304
9	chr2L	94720	94807	+	2923
10	chr2L	102381	102451	+	1316
11	chr2L	107756	107763	+	2337
12	chr2L	107922	107969	+	964
13	chr2L	108130	108226	+	5693
14	chr2L	110927	110972	+	137
15	chr2L	114639	114704	+	178
16	chr2L	122718	122799	+	671
17	chr2L	132013	132120	+	4891
18	chr2L	143292	143363	+	1296
19	chr2L	155045	155157	+	5175
20	chr2L	155307	155647	+	26028
21	chr2L	156118	156178	+	3638
22	chr2L	158991	159060	+	14343
23	chr2L	159102	159103	+	156
24	chr2L	159170	159219	+	602
25	chr2L	182793	182883	+	1923
26	chr2L	190017	190046	+	346
27	chr2L	203750	203845	+	8106
28	chr2L	207007	207073	+	584
29	chr2L	207377	207496	+	2426
30	chr2L	227884	227969	+	190
31	chr2L	232446	232557	+	3321
32	chr2L	262190	262256	+	681
33	chr2L	269033	269170	+	10072
34	chr2L	271828	271840	+	122
35	chr2L	273886	273986	+	3345
36	chr2L	283820	283845	+	134
37	chr2L	292397	292547	+	24208
38	chr2L	292745	292746	+	189
39	chr2L	295086	295268	+	16345
40	chr2L	296533	296565	+	255
41	chr2L	297859	297990	+	4818
42	chr2L	301636	301694	+	156
43	chr2L	301847	301934	+	780
44	chr2L	305930	305942	+	1147
45	chr2L	310245	310249	+	565
46	chr2L	396081	396143	+	196
47	chr2L	404273	404321	+	1501
48	chr2L	414985	415172	+	2211
49	chr2L	419878	420149	+	290367
50	chr2L	420291	420442	+	1687
51	chr2L	431225	431230	+	3385
52	chr2L	453074	453221	+	3206
53	chr2L	472982	473129	+	3885
54	chr2L	490830	490838	+	1567
55	chr2L	545130	545131	+	529
56	chr2L	559611	559726	+	11455
57	chr2L	559767	559805	+	185
58	chr2L	559886	559948	+	199
59	chr2L	564156	564250	+	2337
60	chr2L	568300	568402	+	5121
61	chr2L	574481	574581	+	5109
62	chr2L	574631	574636	+	213
63	chr2L	588027	588148	+	2676
64	chr2L	598647	598648	+	186
65	chr2L	601168	601172	+	119
66	chr2L	602794	602816	+	711
67	chr2L	605886	605979	+	551
68	chr2L	710491	710537	+	143
69	chr2L	728342	728427	+	10541
70	chr2L	730122	730124	+	145
71	chr2L	784304	784382	+	1175
72	chr2L	810542	810629	+	2243
73	chr2L	811582	811625	+	984
74	chr2L	815982	816053	+	1214
75	chr2L	819881	820018	+	3708
76	chr2L	821407	821526	+	9977
77	chr2L	825963	825988	+	4779
78	chr2L	830534	830539	+	189
79	chr2L	830602	830614	+	1014
80	chr2L	852759	852854	+	1520
81	chr2L	855417	855518	+	1394
82	chr2L	870437	870513	+	6089
83	chr2L	870934	870962	+	559
84	chr2L	871055	871098	+	2031
85	chr2L	898646	898647	+	329
86	chr2L	1037197	1037382	+	22031
87	chr2L	1037612	1037663	+	738
88	chr2L	1037777	1037787	+	177
