cluster	chr	start	end	strand	nr_ctss	dominant_ctss	tpm	tpm.dominant_ctss	q_0.1	q_0.9	interquantile_width
1	chr2L	7416	7525	+	30	7492	4528	559	7450	7515	66
2	chr2L	21829	21860	+	4	21830	161	62	21830	21860	31
3	chr2L	67042	67044	+	2	67044	178	143	67043	67044	2
4	chr2L	67416	67445	+	2	67445	15	8	67417	67445	29
5	chr2L	68650	68680	+	5	68680	135	46	68651	68680	30
6	chr2L	71740	71741	+	1	71741	242	242	71741	71741	1
7	chr2L	72599	72631	+	6	72600	353	291	72600	72617	18
8	chr2L	73387	73477	+	9	73441	142	35	73407	73474	68
9	chr2L	73522	73525	+	2	73525	38	21	73523	73525	3
10	chr2L	76330	76363	+	6	76363	304	137	76331	76363	33
11	chr2L	94720	94807	+	14	94742	649	271	94735	94752	18
12	chr2L	102381	102451	+	13	102404	686	152	102386	102436	51
13	chr2L	107756	107763	+	4	107761	518	469	107761	107761	1
14	chr2L	107922	107969	+	12	107934	184	60	107927	107965	39
15	chr2L	108130	108226	+	11	108133	1149	771	108131	108136	6
16	chr2L	110927	110972	+	5	110948	137	42	110928	110972	45
17	chr2L	113689	113691	+	2	113690	20	17	113690	113691	2
18	chr2L	114639	114704	+	4	114657	63	28	114640	114704	65
19	chr2L	122718	122799	+	9	122756	671	234	122745	122799	55
20	chr2L	132013	132120	+	12	132080	1010	483	132079	132083	5
21	chr2L	143292	143363	+	15	143356	452	129	143309	143356	48
22	chr2L	155045	155157	+	27	155083	5166	1436	155083	155143	61
23	chr2L	155307	155647	+	72	155363	9665	1396	155347	155613	267
24	chr2L	156118	156178	+	18	156146	1143	177	156143	156166	24
25	chr2L	158991	159060	+	24	159035	3964	1090	159025	159040	16
26	chr2L	159102	159103	+	1	159103	96	96	159103	159103	1
27	chr2L	159170	159219	+	9	159210	555	126	159171	159215	45
28	chr2L	182793	182883	+	15	182846	419	195	182814	182846	33
29	chr2L	190017	190046	+	4	190020	96	49	190018	190046	29
30	chr2L	198422	198424	+	2	198424	19	14	198423	198424	2
31	chr2L	203750	203845	+	26	203800	3914	1131	203760	203832	73
32	chr2L	207007	207073	+	9	207047	584	137	207015	207073	59
33	chr2L	207377	207496	+	23	207437	639	125	207395	207451	57
34	chr2L	227884	227969	+	7	227969	190	41	227885	227969	85
35	chr2L	232446	232557	+	28	232480	3317	1053	232471	232525	55
36	chr2L	262190	262256	+	14	262256	681	140	262208	262256	49
37	chr2L	269033	269170	+	40	269118	10066	4102	269083	269136	54
38	chr2L	269579	269581	+	2	269581	40	21	269580	269581	2
39	chr2L	271828	271840	+	2	271840	120	101	271829	271840	12
40	chr2L	273886	273986	+	18	273962	1196	330	273909	273962	54
41	chr2L	283820	283845	+	2	283821	132	109	283821	283845	25
42	chr2L	292397	292547	+	50	292466	20128	6692	292423	292489	67
43	chr2L	292745	292746	+	1	292746	154	154	292746	292746	1
44	chr2L	295086	295268	+	44	295155	7626	955	295109	295185	77
45	chr2L	296533	296565	+	4	296565	166	70	296534	296565	32
46	chr2L	296757	296759	+	2	296758	36	18	296758	296759	2
47	chr2L	297859	297990	+	26	297903	1471	373	297871	297932	62
48	chr2L	301636	301694	+	5	301694	24	11	301637	301694	58
49	chr2L	301847	301934	+	15	301881	779	186	301867	301927	61
50	chr2L	305930	305942	+	6	305941	273	221	305934	305941	8
51	chr2L	310245	310249	+	3	310249	136	119	310247	310249	3
52	chr2L	329920	329942	+	3	329924	78	35	329921	329942	22
53	chr2L	355690	355715	+	2	355715	46	26	355691	355715	25
54	chr2L	396081	396143	+	5	396143	196	49	396082	396143	62
55	chr2L	404273	404321	+	12	404297	330	67	404286	404308	23
56	chr2L	414985	415172	+	31	415172	890	83	414996	415164	169
57	chr2L	419878	420149	+	84	419957	74327	21343	419954	419961	8
58	chr2L	420291	420442	+	20	420334	458	66	420295	420436	142
59	chr2L	421577	421600	+	3	421578	36	24	421578	421600	23
60	chr2L	431225	431230	+	4	431227	614	566	431227	431227	1
61	chr2L	453074	453221	+	20	453136	1772	393	453111	453166	56
62	chr2L	472982	473129	+	24	473006	1788	255	473002	473053	52
63	chr2L	490830	490838	+	5	490834	312	269	490834	490835	2
64	chr2L	559611	559726	+	35	559677	2677	833	559642	559678	37
65	chr2L	559767	559805	+	3	559768	46	19	559768	559805	38
66	chr2L	559894	559948	+	5	559895	43	20	559895	559948	54
67	chr2L	564156	564250	+	23	564215	1830	539	564182	564220	39
68	chr2L	568300	568402	+	24	568337	1548	229	568326	568363	38
69	chr2L	574481	574581	+	23	574535	1251	305	574510	574559	50
70	chr2L	574631	574636	+	2	574632	38	33	574632	574636	5
71	chr2L	588027	588148	+	13	588125	1090	524	588048	588127	80
72	chr2L	598647	598648	+	1	598648	186	186	598648	598648	1
73	chr2L	601168	601172	+	2	601169	119	77	601169	601172	4
74	chr2L	602794	602816	+	6	602809	146	67	602795	602816	22
75	chr2L	605886	605979	+	12	605930	551	88	605914	605979	66
76	chr2L	710491	710537	+	6	710537	143	42	710492	710537	46
77	chr2L	728342	728427	+	27	728410	10538	5619	728384	728411	28
78	chr2L	728481	728485	+	2	728482	89	65	728482	728485	4
79	chr2L	730122	730124	+	2	730124	144	125	730123	730124	2
80	chr2L	784304	784382	+	14	784326	1175	410	784323	784367	45
81	chr2L	810542	810629	+	16	810568	980	233	810554	810608	55
82	chr2L	811582	811625	+	9	811618	257	74	811587	811618	32
83	chr2L	815982	816053	+	6	816013	345	256	816007	816016	10
84	chr2L	819881	820018	+	32	819911	2048	385	819911	819975	65
85	chr2L	821407	821512	+	33	821447	4120	1137	821437	821503	67
86	chr2L	823699	823735	+	2	823700	76	58	823700	823735	36
87	chr2L	825963	825988	+	9	825983	1330	884	825971	825984	14
88	chr2L	827650	827653	+	2	827653	69	44	827651	827653	3
89	chr2L	830534	830539	+	2	830539	189	171	830539	830539	1
90	chr2L	830602	830614	+	4	830603	1013	680	830603	830612	10
91	chr2L	831143	831167	+	2	831144	41	21	831144	831167	24
92	chr2L	849834	849863	+	2	849863	70	52	849835	849863	29
93	chr2L	850669	850672	+	2	850670	65	35	850670	850672	3
94	chr2L	852759	852854	+	16	852809	1161	174	852796	852851	56
95	chr2L	855417	855518	+	17	855473	1356	693	855440	855501	62
96	chr2L	870437	870513	+	13	870467	1400	1030	870466	870483	18
97	chr2L	870934	870962	+	5	870943	536	171	870935	870947	13
98	chr2L	871055	871098	+	6	871097	507	467	871097	871097	1
99	chr2L	904010	904034	+	2	904034	40	22	904011	904034	24
100	chr2L	1037019	1037026	+	2	1037020	56	38	1037020	1037026	7
101	chr2L	1037197	1037382	+	51	1037253	6279	1266	1037232	1037274	43
102	chr2L	1037612	1037663	+	7	1037661	190	55	1037644	1037662	19
103	chr2L	1037777	1037787	+	3	1037779	40	27	1037778	1037787	10
104	chr2L	1077913	1078002	+	26	1077937	2946	610	1077931	1077985	55
105	chr2L	1080902	1080999	+	18	1080921	456	106	1080921	1080978	58
106	chr2L	1092985	1093033	+	4	1092986	149	81	1092986	1093033	48
107	chr2L	1103244	1103265	+	3	1103245	86	37	1103245	1103265	21
108	chr2L	1108622	1108684	+	8	1108667	418	115	1108623	1108679	57
109	chr2L	1129284	1129376	+	24	1129320	1999	509	1129302	1129356	55
110	chr2L	1147811	1147854	+	12	1147824	265	52	1147822	1147853	32
111	chr2L	1150728	1150851	+	30	1150774	2874	601	1150768	1150831	64
