cluster	chr	start	end	strand	nr_ctss	dominant_ctss	tpm	tpm.dominant_ctss	q_0.1	q_0.9	interquantile_width
1	chr2L	7511	7515	+	2	7512	2	1	7512	7515	4
2	chr2L	21829	21860	+	4	21830	144	78	21830	21855	26
3	chr2L	67042	67044	+	2	67044	720	584	67043	67044	2
4	chr2L	67416	67445	+	2	67445	58	38	67417	67445	29
5	chr2L	71740	71741	+	1	71741	541	541	71741	71741	1
6	chr2L	72599	72631	+	6	72600	968	799	72600	72617	18
7	chr2L	73387	73477	+	9	73441	384	110	73407	73474	68
8	chr2L	73522	73525	+	2	73525	81	48	73523	73525	3
9	chr2L	94720	94807	+	14	94742	2274	894	94735	94752	18
10	chr2L	102381	102451	+	13	102392	630	163	102386	102420	35
11	chr2L	107756	107763	+	4	107761	1819	1620	107761	107761	1
12	chr2L	107922	107969	+	12	107934	780	205	107927	107965	39
13	chr2L	108130	108226	+	11	108133	4544	3076	108131	108136	6
14	chr2L	113689	113691	+	2	113690	65	46	113690	113691	2
15	chr2L	114639	114704	+	4	114657	115	41	114640	114704	65
16	chr2L	132013	132120	+	12	132080	3881	2011	132079	132082	4
17	chr2L	143292	143363	+	14	143352	844	238	143313	143355	43
18	chr2L	155045	155054	+	3	155046	5	2	155046	155054	9
19	chr2L	155094	155098	+	2	155095	2	1	155095	155098	4
20	chr2L	155142	155146	+	2	155143	2	1	155143	155146	4
21	chr2L	155307	155647	+	71	155363	16363	2939	155337	155613	277
22	chr2L	156118	156178	+	18	156166	2495	476	156146	156166	21
23	chr2L	158991	159060	+	24	159035	10379	3120	159034	159040	7
24	chr2L	159170	159219	+	5	159186	47	25	159186	159219	34
25	chr2L	182793	182883	+	15	182846	1504	701	182818	182846	29
26	chr2L	190017	190046	+	4	190020	250	152	190019	190046	28
27	chr2L	198422	198424	+	2	198424	45	23	198423	198424	2
28	chr2L	203750	203845	+	26	203800	4192	1175	203760	203819	60
29	chr2L	207377	207496	+	23	207437	1787	325	207389	207445	57
30	chr2L	232460	232483	+	2	232461	4	2	232461	232483	23
31	chr2L	269117	269136	+	2	269118	6	5	269118	269136	19
32	chr2L	273888	273986	+	17	273962	2149	742	273939	273962	24
33	chr2L	283820	283845	+	2	283821	2	1	283821	283845	25
34	chr2L	292397	292547	+	50	292415	4080	874	292415	292468	54
35	chr2L	295086	295268	+	44	295155	8719	1642	295109	295173	65
36	chr2L	296533	296565	+	4	296565	89	38	296534	296565	32
37	chr2L	296757	296759	+	2	296759	23	12	296758	296759	2
38	chr2L	297859	297990	+	26	297903	3347	762	297880	297930	51
39	chr2L	301636	301694	+	5	301680	132	35	301637	301694	58
40	chr2L	305930	305942	+	6	305941	874	686	305938	305941	4
41	chr2L	310245	310249	+	3	310249	429	383	310247	310249	3
42	chr2L	404273	404321	+	12	404308	1171	244	404286	404308	23
43	chr2L	415000	415172	+	29	415126	1321	152	415071	415146	76
44	chr2L	419878	420149	+	84	419957	216040	65243	419954	419961	8
45	chr2L	420291	420442	+	20	420334	1229	182	420295	420418	124
46	chr2L	421577	421600	+	3	421600	69	30	421578	421600	23
47	chr2L	431225	431230	+	4	431227	2771	2606	431227	431227	1
48	chr2L	453074	453221	+	20	453136	1434	291	453111	453188	78
49	chr2L	472982	473100	+	22	473023	2097	355	473014	473037	24
50	chr2L	490830	490838	+	5	490834	1255	1010	490834	490838	5
51	chr2L	545130	545131	+	1	545131	450	450	545131	545131	1
52	chr2L	559611	559726	+	35	559677	8778	2772	559643	559678	36
53	chr2L	559767	559805	+	3	559771	139	81	559768	559805	38
54	chr2L	559886	559948	+	6	559895	156	38	559887	559948	62
55	chr2L	564156	564243	+	21	564215	507	69	564167	564215	49
56	chr2L	568300	568402	+	24	568347	3573	538	568332	568369	38
57	chr2L	574481	574581	+	23	574535	3858	944	574510	574546	37
58	chr2L	574631	574636	+	2	574632	175	145	574632	574636	5
59	chr2L	588062	588148	+	10	588125	1586	1138	588125	588143	19
60	chr2L	602794	602816	+	6	602809	565	271	602795	602816	22
61	chr2L	728383	728410	+	2	728410	3	2	728384	728410	27
62	chr2L	810542	810629	+	16	810568	1263	459	810568	810586	19
63	chr2L	811582	811625	+	9	811615	727	225	811587	811622	36
64	chr2L	815982	816053	+	6	816013	869	666	816007	816016	10
65	chr2L	819909	820018	+	29	819973	1660	262	819952	819992	41
66	chr2L	821407	821526	+	34	821447	5857	1415	821442	821503	62
67	chr2L	823699	823735	+	2	823700	51	40	823700	823735	36
68	chr2L	825963	825988	+	9	825983	3449	2386	825974	825983	10
69	chr2L	852759	852854	+	16	852846	359	88	852796	852851	56
70	chr2L	855472	855518	+	8	855516	38	12	855491	855518	28
71	chr2L	870437	870513	+	13	870467	4689	3441	870466	870479	14
72	chr2L	870934	870962	+	5	870943	23	9	870943	870947	5
73	chr2L	871055	871098	+	6	871097	1524	1374	871097	871097	1
74	chr2L	898646	898647	+	1	898647	315	315	898647	898647	1
75	chr2L	1037019	1037026	+	2	1037020	78	39	1037020	1037026	7
76	chr2L	1037197	1037382	+	51	1037257	15752	3833	1037232	1037267	36
77	chr2L	1037612	1037663	+	7	1037661	548	163	1037644	1037662	19
78	chr2L	1037777	1037787	+	3	1037779	137	86	1037778	1037787	10
79	chr2L	1077913	1078002	+	26	1077950	1481	309	1077937	1077978	42
80	chr2L	1080902	1080999	+	18	1080921	1210	303	1080921	1080965	45
81	chr2L	1129284	1129376	+	24	1129320	1396	582	1129310	1129356	47
82	chr2L	1147811	1147854	+	12	1147844	733	120	1147822	1147844	23
83	chr2L	1150728	1150851	+	30	1150768	3675	723	1150768	1150824	57
84	chr2L	1158651	1158734	+	15	1158662	1169	336	1158662	1158705	44
85	chr2L	1164430	1164486	+	15	1164445	924	190	1164445	1164477	33
86	chr2L	1166479	1166571	+	27	1166516	2623	585	1166507	1166548	42
87	chr2L	1170187	1170232	+	8	1170209	478	217	1170197	1170214	18
88	chr2L	1173011	1173070	+	13	1173048	1659	329	1173012	1173052	41
89	chr2L	1177650	1177753	+	20	1177697	745	369	1177694	1177705	12
90	chr2L	1184065	1184129	+	12	1184079	728	224	1184066	1184091	26
91	chr2L	1185894	1185922	+	7	1185897	528	218	1185895	1185907	13
92	chr2L	1186255	1186257	+	2	1186257	462	413	1186256	1186257	2
93	chr2L	1200210	1200212	+	2	1200211	17	14	1200211	1200212	2
94	chr2L	1334143	1334173	+	3	1334163	3	1	1334144	1334173	30
95	chr2L	1344461	1344465	+	2	1344465	13	12	1344465	1344465	1
96	chr2L	1367991	1368201	+	49	1368089	5024	1267	1368089	1368128	40
97	chr2L	1368269	1368358	+	7	1368273	17	7	1368273	1368358	86
98	chr2L	1442720	1442753	+	4	1442726	830	650	1442726	1442731	6
